compound	dose	no_of_replicates_per_compound	well	median_replicate_correlation	p_value	assay
dolutegravir	0.04 uM	5	P12	0.1247924254139892	0	Cell Painting
donepezil	0.04 uM	5	L12	0.0321974920775544	0.048	Cell Painting
donitriptan	0.04 uM	5	I18	0.0504643706283709	0.017	Cell Painting
dopamine	0.04 uM	2	O12	0.0566012238399771	0.14	Cell Painting
doramapimod	0.04 uM	5	C06	0.121137021152115	0	Cell Painting
dorzolamide	0.04 uM	5	K18	0.0100436798044066	0.474	Cell Painting
doxapram	0.04 uM	5	F06	0.0241429626905598	0.122	Cell Painting
doxazosin	0.04 uM	5	H12	0.0658834785214241	0	Cell Painting
doxepin	0.04 uM	5	N06	0.063922218484239	0.001	Cell Painting
doxifluridine	0.04 uM	5	H24	0.0842068905185848	0.003	Cell Painting
doxofylline	0.04 uM	5	J12	0.0218877748910025	0.106	Cell Painting
doxorubicin	0.04 uM	5	L24	0.4564813567982915	0	Cell Painting
doxycycline-hyclate	0.04 uM	5	D12	0.0202152263739503	0.14	Cell Painting
dpcpx	0.04 uM	4	I06	0.0868916256839792	0	Cell Painting
dpi-201106	0.04 uM	5	H24	0.0459725446645974	0.235	Cell Painting
dronedarone	0.04 uM	5	G06	0.0048093484272732	0.588	Cell Painting
droperidol	0.04 uM	5	J06	0.0071111248635063	0.604	Cell Painting
drospirenone	0.04 uM	4	E12	-4.575175549238e-4	0.69	Cell Painting
du-728	0.04 uM	5	E12	0.0392727998850717	0.039	Cell Painting
duloxetine	0.04 uM	5	L18	-0.0010354350795222	0.717	Cell Painting
dutasteride	0.04 uM	5	L06	0.0332168255458368	0.072	Cell Painting
e-2012	0.04 uM	5	O18	0.0225299898391557	0.327	Cell Painting
ebselen	0.04 uM	5	L24	0.0940215433395652	0.004	Cell Painting
econazole	0.04 uM	5	D18	0.0694132613605506	0	Cell Painting
edoxaban	0.04 uM	5	K24	0.071329664198014	0.164	Cell Painting
edoxudine	0.04 uM	5	E24	0.1291972056063828	0.005	Cell Painting
efaproxiral	0.04 uM	2	B12	-0.0651587724971638	0.966	Cell Painting
efavirenz	0.04 uM	2	G24	0.0044427560320498	0.724	Cell Painting
eflornithine	0.04 uM	5	L24	0.0845154994945214	0.008	Cell Painting
elesclomol	0.04 uM	5	O18	0.3221403643884929	0	Cell Painting
ellagic-acid	0.04 uM	5	P18	0.0890128558030202	0.001	Cell Painting
emd-1214063	0.04 uM	5	P12	0.0514921257712151	0.108	Cell Painting
emd-53998	0.04 uM	5	L06	0.0428401440673721	0.033	Cell Painting
emedastine	0.04 uM	5	M18	0.0889961071160449	0.002	Cell Painting
emtricitabine	0.04 uM	5	O24	0.0671109310040648	0.082	Cell Painting
enalapril	0.04 uM	5	H06	0.0480787113752796	0.006	Cell Painting
enoxacin	0.04 uM	5	L24	0.0984015455524491	0.001	Cell Painting
entecavir	0.04 uM	5	C06	0.0360872087455658	0.037	Cell Painting
entinostat	0.04 uM	5	A24	0.1016148658661714	0.004	Cell Painting
enzalutamide	0.04 uM	5	I24	0.1041031517958053	0	Cell Painting
enzastaurin	0.04 uM	5	P06	-0.0102944435938478	0.971	Cell Painting
eperezolid	0.04 uM	5	H12	0.0340059596959115	0.036	Cell Painting
epinastine	0.04 uM	5	M12	0.0066816017220801	0.489	Cell Painting
epinephrine	0.04 uM	5	E06	0.0231700378790676	0.196	Cell Painting
epirizole	0.04 uM	2	E24	-1.677174376525e-4	0.824	Cell Painting
epirubicin	0.04 uM	5	E12	0.6873581362044643	0	Cell Painting
epitiostanol	0.04 uM	4	J24	0.184109482449544	0	Cell Painting
epothilone-b	0.04 uM	5	C12	0.6411329015284315	0	Cell Painting
equol	0.04 uM	5	L06	0.0715000905393153	0.002	Cell Painting
ercalcitriol	0.04 uM	5	J24	0.0683533641666575	0.013	Cell Painting
erlotinib	0.04 uM	5	G06	0.0658395566045448	0	Cell Painting
erteberel	0.04 uM	5	B24	0.0788191909575514	0.057	Cell Painting
erythromycin	0.04 uM	5	G12	0.0168692279410549	0.293	Cell Painting
erythromycin	0.04 uM	5	C12	0.0168692279410549	0.354	Cell Painting
escitalopram	0.04 uM	5	H24	0.0407597950967932	0.333	Cell Painting
esmolol	0.04 uM	5	M18	0.0047419650041085	0.703	Cell Painting
estramustine	0.04 uM	5	H12	0.0288369367127313	0.068	Cell Painting
estramustine-phosphate	0.04 uM	4	A12	0.0468056975517245	0.124	Cell Painting
estriol	0.04 uM	5	P18	0.0992437517589505	0	Cell Painting
estrone	0.04 uM	2	C18	-0.0089522241339379	0.737	Cell Painting
etacrynic-acid	0.04 uM	5	H12	0.0312688160956915	0.049	Cell Painting
etanidazole	0.04 uM	5	K18	0.0438259636677114	0.021	Cell Painting
etazolate	0.04 uM	5	J06	0.0339665341231337	0.073	Cell Painting
ethinyl-estradiol	0.04 uM	4	K06	0.0436567813880579	0.036	Cell Painting
ethylenediaminetetraacetic-acid	0.04 uM	5	B12	0.0930527637540625	0	Cell Painting
etizolam	0.04 uM	5	D12	0.0470128214201983	0.001	Cell Painting
etodolac	0.04 uM	5	J06	0.0294060319219695	0.111	Cell Painting
etofylline-clofibrate	0.04 uM	5	N18	0.0457026128551147	0.03	Cell Painting
etomidate	0.04 uM	5	O18	0.0544883375774232	0.01	Cell Painting
etomoxir	0.04 uM	5	E18	0.0267082061172962	0.214	Cell Painting
etoposide	0.04 uM	5	P24	0.6585799405048725	0.003	Cell Painting
etoricoxib	0.04 uM	5	K06	0.0803809851674156	0	Cell Painting
etravirine	0.04 uM	5	I12	0.0366396251020349	0.015	Cell Painting
eugenol	0.04 uM	5	M06	0.045313414731414	0.081	Cell Painting
everolimus	0.04 uM	5	H06	0.634966773221763	0	Cell Painting
evp-6124	0.04 uM	5	M06	0.0409626295048651	0.107	Cell Painting
exalamide	0.04 uM	5	C12	0.0216246132629894	0.245	Cell Painting
exemestane	0.04 uM	5	A24	0.1147938853418064	0.001	Cell Painting
exherin	0.04 uM	5	H18	0.0154266122855089	0.273	Cell Painting
fadrozole	0.04 uM	5	N18	0.0643435461707826	0.003	Cell Painting
famciclovir	0.04 uM	5	B24	0.0886755313049915	0.028	Cell Painting
famotidine	0.04 uM	4	D24	0.0338163947239774	0.5	Cell Painting
faropenem	0.04 uM	5	M06	0.3130623082344989	0	Cell Painting
fasudil	0.04 uM	5	L06	0.0368668229387786	0.054	Cell Painting
favipiravir	0.04 uM	5	B24	0.0738121092978298	0.088	Cell Painting
fdcyd	0.04 uM	5	P06	0.7990547923232119	0	Cell Painting
febuxostat	0.04 uM	5	I18	0.0463202860308489	0.026	Cell Painting
felbinac	0.04 uM	5	P18	0.0292018775516704	0.305	Cell Painting
felodipine	0.04 uM	5	G12	0.0305270599811027	0.073	Cell Painting
fenobam	0.04 uM	5	O18	0.0652422059091677	0.003	Cell Painting
fenoterol	0.04 uM	5	I06	0.030320317808668	0.093	Cell Painting
fenticonazole	0.04 uM	5	N24	0.0424957465531823	0.266	Cell Painting
fexofenadine	0.04 uM	5	L12	0.0225726196865916	0.15	Cell Painting
fiacitabine	0.04 uM	5	L24	0.0593411884780346	0.079	Cell Painting
fidarestat	0.04 uM	5	G12	-0.0015946365108498	0.747	Cell Painting
fidaxomicin	0.04 uM	5	D18	0.051290942724489	0.006	Cell Painting
filgotinib	0.04 uM	5	H18	0.0967425603055483	0	Cell Painting
finasteride	0.04 uM	5	A18	0.0403907648315398	0.136	Cell Painting
fipronil	0.04 uM	5	O24	0.0692817859925381	0.067	Cell Painting
firategrast	0.04 uM	5	L06	0.0282126374856729	0.124	Cell Painting
flavoxate	0.04 uM	5	H18	0.0324347943939601	0.032	Cell Painting
flecainide	0.04 uM	5	I06	0.0290596640924025	0.106	Cell Painting
floxuridine	0.04 uM	5	P18	0.7680175179968098	0	Cell Painting
fluconazole	0.04 uM	5	G24	0.0992738180532369	0	Cell Painting
fludarabine-phosphate	0.04 uM	5	K24	0.1526608762497533	0.019	Cell Painting
fludroxycortide	0.04 uM	5	N12	0.5586921698515808	0	Cell Painting
flumatinib	0.04 uM	5	F06	0.1184189607765734	0	Cell Painting
flumazenil	0.04 uM	5	M06	0.0170570998211989	0.494	Cell Painting
fluocinonide	0.04 uM	5	P12	0.5760883051263029	0	Cell Painting
fluorometholone	0.04 uM	5	G06	0.6762579365567953	0	Cell Painting
fluorouracil	0.04 uM	5	J24	0.1416483142727074	0	Cell Painting
fluoxetine	0.04 uM	5	A18	0.0417557953529202	0.124	Cell Painting
fluphenazine	0.04 uM	5	K24	0.0691373962109352	0.178	Cell Painting
fluspirilene	0.04 uM	5	L12	0.0330439353496751	0.043	Cell Painting
flutamide	0.04 uM	5	A24	0.0527249143099464	0.215	Cell Painting
fluticasone	0.04 uM	5	B24	0.5478754432881496	0	Cell Painting
flutrimazole	0.04 uM	4	B18	0.0300752519254038	0.213	Cell Painting
fluvoxamine	0.04 uM	5	H18	0.0232876337967249	0.129	Cell Painting
folic-acid	0.04 uM	5	O24	0.1002607623945772	0.004	Cell Painting
fomepizole	0.04 uM	5	F06	0.03562584098412	0.034	Cell Painting
fomocaine	0.04 uM	5	B18	0.0434707459852974	0.042	Cell Painting
foretinib	0.04 uM	4	P24	0.7370644986307686	0	Cell Painting
formestane	0.04 uM	5	O18	0.1635773411067826	0	Cell Painting
formoterol	0.04 uM	5	I18	0.0304490546316081	0.17	Cell Painting
forskolin	0.04 uM	5	J12	0.0465534459701381	0.002	Cell Painting
fosfomycin	0.04 uM	5	I24	0.072525269245052107	0.007	Cell Painting
fostamatinib	0.04 uM	5	D24	0.1069683496352745	0.001	Cell Painting
fpl-62064	0.04 uM	5	M12	0.030614094342671	0.07	Cell Painting
ftorafur	0.04 uM	5	O12	0.0143187279935853	0.348	Cell Painting
fulvestrant	0.04 uM	4	O12	0.0628769996097273	0.006	Cell Painting
fusidic-acid	0.04 uM	5	L18	0.0201732430957742	0.232	Cell Painting
gabapentin	0.04 uM	5	M24	0.5255596404760656	0.002	Cell Painting
galeterone	0.04 uM	5	A18	0.0377861332643461	0.155	Cell Painting
ganaxolone	0.04 uM	5	H24	0.0549079632093811	0.109	Cell Painting
gatifloxacin	0.04 uM	5	B12	0.0213033321573867	0.264	Cell Painting
gdc-0068	0.04 uM	5	I12	0.0301842662528413	0.04	Cell Painting
gdc-0152	0.04 uM	5	M06	0.1722884250112537	0	Cell Painting
gdc-0199	0.04 uM	5	G06	0.0709127658027154	0	Cell Painting
gdc-0834	0.04 uM	5	H12	0.0403070518437082	0.015	Cell Painting
gefitinib	0.04 uM	5	H18	0.0460895437721842	0.004	Cell Painting
gemcitabine	0.04 uM	5	N18	0.6790033611949897	0	Cell Painting
gemfibrozil	0.04 uM	5	M24	0.1285048046707049	0.804	Cell Painting
gemifloxacin	0.04 uM	2	H24	-0.0484567394522418	0.971	Cell Painting
genz-644282	0.04 uM	5	E06	0.7458661266365303	0	Cell Painting
gestrinone	0.04 uM	5	P18	0.1619505173593375	0	Cell Painting
gimeracil	0.04 uM	5	N18	0.0599771810423923	0.004	Cell Painting
ginkgolide-b	0.04 uM	5	F18	0.0164567606246293	0.344	Cell Painting
glasdegib	0.04 uM	5	L06	0.032485541283128	0.078	Cell Painting
gliclazide	0.04 uM	5	P06	0.0300596366822758	0.266	Cell Painting
glimepiride	0.04 uM	5	K24	0.1279897147724487	0.041	Cell Painting
glipizide	0.04 uM	5	B18	0.1421024037517695	0	Cell Painting
gliquidone	0.04 uM	5	B18	0.0573906576358995	0.004	Cell Painting
glycitein	0.04 uM	5	M18	0.040468391080893	0.033	Cell Painting
glycopyrrolate	0.04 uM	5	N24	0.076600909946461	0.006	Cell Painting
golvatinib	0.04 uM	5	F18	0.0153831402836791	0.37	Cell Painting
goserelin-acetate	0.04 uM	5	L24	0.0506795337415599	0.148	Cell Painting
granisetron	0.04 uM	5	M12	0.0551276557459391	0.001	Cell Painting
grazoprevir	0.04 uM	5	N12	0.0355062942782396	0.041	Cell Painting
griseofulvin	0.04 uM	5	C06	0.062842959615441	0	Cell Painting
gsk1292263	0.04 uM	5	G24	0.1034778419619724	0	Cell Painting
gsk2110183	0.04 uM	5	A12	0.0724708180941432	0.004	Cell Painting
gsk256066	0.04 uM	2	B24	0.0886351311123357	0.219	Cell Painting
gsk2636771	0.04 uM	5	K18	0.0532276986070648	0.003	Cell Painting
guanabenz	0.04 uM	5	E06	0.0635420719389269	0.001	Cell Painting
guanadrel	0.04 uM	5	J24	0.1533007815884948	0	Cell Painting
guanethidine	0.04 uM	5	D12	0.0032181502055809	0.52	Cell Painting
gw842166	0.04 uM	5	B12	0.0692746767343187	0.001	Cell Painting
halcinonide	0.04 uM	5	C06	0.4156166860589744	0	Cell Painting
haloperidol	0.04 uM	5	N12	0.1624465575447732	0	Cell Painting
hc-030031	0.04 uM	5	G12	0.0225649827340081	0.178	Cell Painting
hesperidin	0.04 uM	5	F18	0.0754649396237537	0	Cell Painting
hexachlorophene	0.04 uM	5	M24	0.3246172454304683	0.13	Cell Painting
histamine	0.04 uM	4	H18	0.0356173939008381	0.062	Cell Painting
homochlorcyclizine	0.04 uM	5	J06	0.0253832222870522	0.173	Cell Painting
homoharringtonine	0.04 uM	5	L12	0.525280207836641	0	Cell Painting
honokiol	0.04 uM	5	A24	0.1402397907347889	0	Cell Painting
hydrocortisone	0.04 uM	5	E24	0.3808353110529726	0	Cell Painting
hydroxyurea	0.04 uM	5	C18	0.0087891119215465	0.732	Cell Painting
hymecromone	0.04 uM	5	E18	0.013008930106123801	0.511	Cell Painting
hypericin	0.04 uM	5	M18	0.0677514946929169	0.002	Cell Painting
i-bet-762	0.04 uM	5	A24	0.0994214931430771	0.004	Cell Painting
ib-meca	0.04 uM	5	B12	0.0156980696996316	0.401	Cell Painting
ibrutinib	0.04 uM	5	G24	0.1140851170730309	0	Cell Painting
ibudilast	0.04 uM	5	E12	0.0630835523218543	0.001	Cell Painting
ibuprofen	0.04 uM	5	L18	0.0571557823636539	0.008	Cell Painting
ibutamoren	0.04 uM	5	C06	0.0271017467673625	0.103	Cell Painting
ici-162846	0.04 uM	5	M18	0.0552277940679104	0.005	Cell Painting
ici-185,282	0.04 uM	5	J06	0.0212345943516559	0.256	Cell Painting
ici-192605	0.04 uM	5	K24	0.183920658010386	0.014	Cell Painting
idalopirdine	0.04 uM	5	N24	0.0491803600548812	0.16	Cell Painting
idelalisib	0.04 uM	5	I06	0.036870027771297	0.036	Cell Painting
idoxuridin	0.04 uM	5	M18	0.0827924702859245	0.002	Cell Painting
ifosfamide	0.04 uM	5	P06	0.0328690097373418	0.223	Cell Painting
iguratimod	0.04 uM	5	O24	0.1708604858919654	0	Cell Painting
ilomastat	0.04 uM	5	D06	0.0218294526479311	0.151	Cell Painting
imatinib	0.04 uM	5	A24	0.0667213352099269	0.085	Cell Painting
imexon	0.04 uM	5	N12	0.0165302167934936	0.257	Cell Painting
imiloxan	0.04 uM	5	M06	0.0849987930302078	0.003	Cell Painting
imipramine	0.04 uM	2	E06	0.0348443195487274	0.266	Cell Painting
imiquimod	0.04 uM	5	E12	0.0615867163862442	0.001	Cell Painting
indacaterol	0.04 uM	5	E18	0.017707152629376	0.405	Cell Painting
indapamide	0.04 uM	5	G06	0.009922081457424	0.463	Cell Painting
indibulin	0.04 uM	5	G24	0.099828785004517	0	Cell Painting
indinavir	0.04 uM	5	H12	0.0670286389962938	0	Cell Painting
indiplon	0.04 uM	5	I06	0.0335529374305776	0.059	Cell Painting
indirubin	0.04 uM	5	M12	0.1811228163778211	0	Cell Painting
indobufen	0.04 uM	5	E06	0.0342838369939003	0.059	Cell Painting
indole	0.04 uM	4	H24	0.0799854481951232	0.021	Cell Painting
indoprofen	0.04 uM	2	O18	0.0230818347479082	0.432	Cell Painting
indoramin	0.04 uM	5	I24	0.0947350652596994	0	Cell Painting
ingenol-mebutate	0.04 uM	5	D24	0.6405647502414478	0	Cell Painting
iniparib	0.04 uM	5	P06	0.0708165461388093	0.004	Cell Painting
inosine	0.04 uM	5	J24	0.0597389723583569	0.04	Cell Painting
inositol	0.04 uM	5	P06	0.0480581278002671	0.058	Cell Painting
iowh032	0.04 uM	5	L24	0.2833185335922209	0	Cell Painting
ipratropium	0.04 uM	5	L18	0.0802434292806008	0.001	Cell Painting
ipriflavone	0.04 uM	5	E18	0.0450615582813066	0.036	Cell Painting
irinotecan	0.04 uM	5	C18	0.0735094379859169	0.001	Cell Painting
isbufylline	0.04 uM	5	I24	0.0971438796700406	0	Cell Painting
isoconazole	0.04 uM	5	E06	0.0537854106856069	0.004	Cell Painting
isofloxythepin	0.04 uM	5	P12	0.066425525580849007	0.018	Cell Painting
isosorbide	0.04 uM	5	F06	0.0309199109183389	0.062	Cell Painting
isradipine	0.04 uM	5	D06	0.0645387713900098	0	Cell Painting
istaroxime	0.04 uM	5	K18	0.0211674914118511	0.218	Cell Painting
itopride	0.04 uM	5	M12	0.0234625808766202	0.133	Cell Painting
ivabradine	0.04 uM	5	B24	0.0656072132700039	0.157	Cell Painting
ivacaftor	0.04 uM	5	F24	0.1127474439025066	0	Cell Painting
ivermectin	0.04 uM	5	J24	0.1372167245036278	0	Cell Painting
ixabepilone	0.04 uM	5	B12	0.0379800448431049	0.053	Cell Painting
josamycin	0.04 uM	5	D06	0.0343872724377789	0.036	Cell Painting
kakonein	0.04 uM	5	O24	0.2080510664838413	0	Cell Painting
kbg	0.04 uM	4	B24	0.0415372106310961	0.522	Cell Painting
kd-023	0.04 uM	5	L24	0.0616230276107712	0.062	Cell Painting
kd025	0.04 uM	5	C18	0.0337742806286584	0.199	Cell Painting
ketoconazole	0.04 uM	5	L24	0.0950794659855946	0.004	Cell Painting
ketoprofen	0.04 uM	5	O18	0.044779453400472	0.039	Cell Painting
ketorolac	0.04 uM	2	H12	0.0134646988318683	0.419	Cell Painting
ketotifen	0.04 uM	5	C18	0.0537619578307023	0.023	Cell Painting
kpt-330	0.04 uM	5	E18	0.0648975909611824	0.003	Cell Painting
kw-2449	0.04 uM	5	K24	0.1072118502455922	0.059	Cell Painting
kw-2478	0.04 uM	2	J06	-0.038008780109239	0.886	Cell Painting
kx2-391	0.04 uM	5	F24	0.3065084192311594	0	Cell Painting
l-citrulline	0.04 uM	5	B24	0.0880849145518215	0.032	Cell Painting
l-ergothioneine	0.04 uM	5	P06	0.0686941481995299	0.004	Cell Painting
l-name	0.04 uM	5	G06	0.0821428323155808	0	Cell Painting
labetalol	0.04 uM	5	N18	0.0474471630488689	0.024	Cell Painting
lacitol	0.04 uM	5	K18	0.0315049595769698	0.085	Cell Painting
lacosamide	0.04 uM	5	C06	0.0154108021423564	0.284	Cell Painting
lafutidine	0.04 uM	5	P24	0.6641635596733859	0.003	Cell Painting
lamivudine	0.04 uM	4	N12	0.0382222566045964	0.056	Cell Painting
lamotrigine	0.04 uM	5	E12	0.0256491162640898	0.165	Cell Painting
lapatinib	0.04 uM	5	D12	0.0335594524204335	0.03	Cell Painting
lasalocid	0.04 uM	5	P06	0.0949178119585483	0	Cell Painting
latanoprost	0.04 uM	5	N06	0.0160945242378864	0.386	Cell Painting
lcl-161	0.04 uM	5	D06	0.1582019243409258	0	Cell Painting
ledipasvir	0.04 uM	5	E24	0.0871483797700789	0.027	Cell Painting
leflunomide	0.04 uM	5	M24	0.32293080320491663	0.132	Cell Painting
lenalidomide	0.04 uM	5	N06	0.0371880607885024	0.063	Cell Painting
lenvatinib	0.04 uM	2	G06	-0.0143139142432471	0.722	Cell Painting
lerisetron	0.04 uM	5	E18	0.040566602360952	0.063	Cell Painting
lersivirine	0.04 uM	4	P12	0.0674433908375409	0.051	Cell Painting
lestaurtinib	0.04 uM	5	G06	0.2020642452045008	0	Cell Painting
letermovir	0.04 uM	5	L12	0.0118583499930901	0.35	Cell Painting
levalbuterol	0.04 uM	5	L12	0.0415196602395442	0.013	Cell Painting
levamisole	0.04 uM	5	O24	0.0547787193327791	0.202	Cell Painting
levcromakalim	0.04 uM	5	G06	0.0259271687785275	0.126	Cell Painting
levetiracetam	0.04 uM	5	P12	0.1144944425205807	0	Cell Painting
levobunolol	0.04 uM	5	C18	0.1105390245773262	0	Cell Painting
levocabastine	0.04 uM	5	H24	0.0812592740240222	0.003	Cell Painting
levocetirizine	0.04 uM	5	O24	0.0492687389641225	0.263	Cell Painting
levofloxacin	0.04 uM	5	H24	0.0818737253359897	0.003	Cell Painting
levomequitazine	0.04 uM	5	N06	0.1104986796688708	0	Cell Painting
levonorgestrel	0.04 uM	5	G06	0.1075763760642488	0	Cell Painting
levosimendan	0.04 uM	4	N18	0.0560040103959106	0.018	Cell Painting
levothyroxine	0.04 uM	5	H06	0.0032586086658241	0.597	Cell Painting
lgx818	0.04 uM	5	A24	0.4409361462509596	0	Cell Painting
licochalcone-a	0.04 uM	5	D12	0.0621780879819433	0	Cell Painting
lidamidine	0.04 uM	5	D24	0.0438242113875444	0.327	Cell Painting
lidocaine	0.04 uM	5	F18	0.0248626516287886	0.183	Cell Painting
lidoflazine	0.04 uM	5	H06	0.0715911003609759	0	Cell Painting
linezolid	0.04 uM	5	M24	0.5736158869640956	0.001	Cell Painting
linifanib	0.04 uM	5	N18	0.0412244444949678	0.051	Cell Painting
linopirdine	0.04 uM	5	K18	0.0393616043700697	0.029	Cell Painting
linsidomine	0.04 uM	5	P12	0.0246331522205198	0.606	Cell Painting
linsitinib	0.04 uM	5	F18	0.0657044621998058	0	Cell Painting
liranaftate	0.04 uM	5	N24	0.0963835702906389	0	Cell Painting
lisinopril	0.04 uM	5	A18	0.1146237596607756	0.005	Cell Painting
lisofylline	0.04 uM	5	E18	0.0388948476469819	0.07	Cell Painting
lobenzarit	0.04 uM	5	B18	0.026024409980176	0.232	Cell Painting
lodoxamide	0.04 uM	5	K18	0.0386048497207696	0.033	Cell Painting
lofexidine	0.04 uM	4	M12	0.0032847218211868	0.608	Cell Painting
lomeguatrib	0.04 uM	5	H12	0.0344913668942693	0.033	Cell Painting
lomerizine	0.04 uM	5	F18	0.0438738972275932	0.016	Cell Painting
lomitapide	0.04 uM	5	C18	0.0663146525774952	0.004	Cell Painting
lonafarnib	0.04 uM	5	P18	0.1135962774156941	0	Cell Painting
lonidamine	0.04 uM	5	N12	0.0135334003234203	0.328	Cell Painting
loperamide	0.04 uM	5	O18	0.0485635404519749	0.025	Cell Painting
lopinavir	0.04 uM	5	P12	0.0417242828143526	0.254	Cell Painting
loratadine	0.04 uM	5	G12	0.0584539111877962	0.003	Cell Painting
lorazepam	0.04 uM	5	B12	0.0979984611570078	0	Cell Painting
lorcaserin	0.04 uM	5	K18	0.0434951197937358	0.021	Cell Painting
lorglumide	0.04 uM	5	F18	0.024887999371371	0.183	Cell Painting
losmapimod	0.04 uM	5	D06	0.0518336139704965	0.002	Cell Painting
loxoprofen	0.04 uM	2	N12	-0.0409463626428917	0.873	Cell Painting
lucitanib	0.04 uM	5	B18	0.0168230541604576	0.428	Cell Painting
luliconazole	0.04 uM	5	L12	0.0153784523964945	0.269	Cell Painting
lupanine	0.04 uM	5	D06	-0.0207833845585692	0.958	Cell Painting
lurasidone	0.04 uM	5	A18	0.0486124160787074	0.083	Cell Painting
lx1031	0.04 uM	5	D24	0.0928158273149431	0.006	Cell Painting
ly215490	0.04 uM	5	P12	0.0819733363877762	0.002	Cell Painting
ly2228820	0.04 uM	5	G06	0.1934903731146268	0	Cell Painting
ly2334737	0.04 uM	5	D24	0.1076477567849134	0.001	Cell Painting
ly2784544	0.04 uM	5	M24	0.1810835574980699	0.621	Cell Painting
ly2811376	0.04 uM	5	F18	0.0191544539025299	0.296	Cell Painting
ly2874455	0.04 uM	5	J12	0.3618312889287807	0	Cell Painting
ly2886721	0.04 uM	5	N18	0.0919333965499775	0	Cell Painting
macitentan	0.04 uM	5	P06	0.0938687590194978	0	Cell Painting
malotilate	0.04 uM	5	P18	0.0673479794586803	0.006	Cell Painting
manumycin-a	0.04 uM	5	M12	0.0365074471240229	0.032	Cell Painting
maprotiline	0.04 uM	5	N24	0.0728202196449153	0.014	Cell Painting
maraviroc	0.04 uM	5	C06	0.0257896608808396	0.118	Cell Painting
maribavir	0.04 uM	5	G12	0.0668448022386268	0	Cell Painting
marimastat	0.04 uM	5	F18	0.0310654084403285	0.101	Cell Painting
masitinib	0.04 uM	5	N12	0.0215958520625675	0.172	Cell Painting
masoprocol	0.04 uM	5	G06	-0.0118062870104207	0.899	Cell Painting
maxacalcitol	0.04 uM	5	D06	0.097962493880163	0	Cell Painting
mazindol	0.04 uM	5	D18	0.0121383912262377	0.514	Cell Painting
mbx-2982	0.04 uM	5	L12	0.0037959972965135	0.537	Cell Painting
mcpp	0.04 uM	5	G12	0.0089575685366993	0.473	Cell Painting
mebendazole	0.04 uM	5	I06	0.0658352592180486	0.001	Cell Painting
mecamylamine	0.04 uM	5	E06	0.0256630256736518	0.15	Cell Painting
meclofenamic-acid	0.04 uM	5	P06	0.066401617236018	0.007	Cell Painting
meclozine	0.04 uM	5	E06	0.0027746292843711	0.649	Cell Painting
medroxyprogesterone-acetate	0.04 uM	5	P12	0.3471535561147719	0	Cell Painting
medrysone	0.04 uM	5	F06	0.3348942578493695	0	Cell Painting
meglitinide	0.04 uM	5	B24	0.1213522979593195	0.004	Cell Painting
meisoindigo	0.04 uM	5	K06	0.2764268446959588	0	Cell Painting
mek162	0.04 uM	5	E18	0.248283614754067	0	Cell Painting
melatonin	0.04 uM	5	J12	0.0340836467897856	0.024	Cell Painting
meloxicam	0.04 uM	5	C06	0.0249383231107486	0.129	Cell Painting
melperone	0.04 uM	5	C18	0.0145028851607432	0.595	Cell Painting
